Company,Symbol
Asian Paints,ASIANPAINT.BO
Axis Bank,AXISBANK.BO
Bajaj Auto,BAJAJ-AUTO.BO
Bajaj Finance,BAJFINANCE.BO
Bajaj Finserv,BAJAJFINSV.BO
Bharti Airtel,BHARTIARTL.BO
Dr Reddy's Laboratories,DRREDDY.BO
HCL Technologies,HCLTECH.BO
HDFC,HDFC.BO
HDFC Bank,HDFCBANK.BO
Hindustan Unilever Limited,HINDUNILVR.BO
ICICI Bank,ICICIBANK.BO
IndusInd Bank,INDUSINDBK.BO
Infosys,INFY.BO
ITC Limited,ITC.BO
Kotak Mahindra Bank,KOTAKBANK.BO
Larsen & Toubro,LT.BO
Mahindra & Mahindra,M&M.BO
Maruti Suzuki,MARUTI.BO
Nestlé India,NESTLEIND.BO
NTPC,NTPC.BO
Oil and Natural Gas Corporation,ONGC.BO
Power Grid Corporation of India,POWERGRID.BO
Reliance Industries Limited,RELIANCE.BO
State Bank of India,SBIN.BO
Sun Pharma,SUNPHARMA.BO
Tata Consultancy Services,TCS.BO
Tech Mahindra,TECHM.BO
Titan Company,TITAN.BO
UltraTech Cement,ULTRACEMCO.BO
