date,tweets,news,tic
2016-01-01,0,0.350316662,ASIANPAINT.BO
2016-01-01,-0.256360122,0.148355146,AXISBANK.BO
2016-01-01,0.191883232,0.182734759,BAJAJ-AUTO.BO
2016-01-01,0.243753687,0.184950951,BAJFINANCE.BO
2016-01-01,0,0.235760105,BAJAJFINSV.BO
2016-01-01,0,0.038372482,BHARTIARTL.BO
2016-01-01,0,0.144320821,DRREDDY.BO
2016-01-01,0.048729147,0,HCLTECH.BO
2016-01-01,0.084601898,-0.025431052,HDFC.BO
2016-01-01,0.13849585,0.117177609,HDFCBANK.BO
2016-01-01,0,0,HINDUNILVR.BO
2016-01-01,0.268472227,0.028256913,ICICIBANK.BO
2016-01-01,0,-0.076696549,INDUSINDBK.BO
2016-01-01,-0.013593931,0.061131818,INFY.BO
2016-01-01,0.249231508,0.22692991,ITC.BO
2016-01-01,0.03051237,0.496962236,KOTAKBANK.BO
2016-01-01,0,0,LT.BO
2016-01-01,0.037285357,0.080402508,M&M.BO
2016-01-01,0.179114634,0.177585083,MARUTI.BO
2016-01-01,0.084016758,0,NESTLEIND.BO
2016-01-01,0.107840094,0,NTPC.BO
2016-01-01,0.089121231,0.283706305,ONGC.BO
2016-01-01,0.086604376,0.070230317,POWERGRID.BO
2016-01-01,0,0.030947709,RELIANCE.BO
2016-01-01,-0.103362694,0.029884116,SBIN.BO
2016-01-01,-0.070305265,0.177890831,SUNPHARMA.BO
2016-01-01,0,0,TCS.BO
2016-01-01,0.655366722,0.076845997,TECHM.BO
2016-01-01,0,-0.074602066,TITAN.BO
2016-01-01,0,0,ULTRACEMCO.BO
2016-01-02,0,0,ASIANPAINT.BO
2016-01-02,0.189744326,-0.061983971,AXISBANK.BO
2016-01-02,-0.08479009,0.075178542,BAJAJ-AUTO.BO
2016-01-02,0,0.072159549,BAJFINANCE.BO
2016-01-02,0.09415958,0.142923427,BAJAJFINSV.BO
2016-01-02,0,-0.106357198,BHARTIARTL.BO
2016-01-02,0,0,DRREDDY.BO
2016-01-02,0.20558808,0.345855779,HCLTECH.BO
2016-01-02,0.170798057,0.051120469,HDFC.BO
2016-01-02,0.157646202,-0.019800868,HDFCBANK.BO
2016-01-02,0,-0.012922678,HINDUNILVR.BO
2016-01-02,0.149025481,-0.216476749,ICICIBANK.BO
2016-01-02,0,-0.582649636,INDUSINDBK.BO
2016-01-02,0.104758022,0.045686747,INFY.BO
2016-01-02,0.116202225,-0.105748644,ITC.BO
2016-01-02,-0.138027136,0.015872613,KOTAKBANK.BO
2016-01-02,0,0.111098767,LT.BO
2016-01-02,0.067056082,-0.074955239,M&M.BO
2016-01-02,0.241972264,0.109521089,MARUTI.BO
2016-01-02,-0.0150211,0,NESTLEIND.BO
2016-01-02,0,-0.227662801,NTPC.BO
2016-01-02,0.011629133,0.18061735,ONGC.BO
2016-01-02,0.284970293,0,POWERGRID.BO
2016-01-02,0.246855029,-0.112111299,RELIANCE.BO
2016-01-02,0.286120327,-0.141618642,SBIN.BO
