,date,account_value
0,2019-01-01,10000000.0
1,2019-01-02,9942781.614736244
2,2019-01-03,9915693.333020851
3,2019-01-04,9883520.211278602
4,2019-01-07,9821522.505750343
5,2019-01-08,9875581.52608268
6,2019-01-09,9955612.957753822
7,2019-01-10,9981411.82888572
8,2019-01-11,9932822.554288551
9,2019-01-14,9930250.697377846
10,2019-01-15,10042541.025167152
11,2019-01-16,9976067.282590553
12,2019-01-17,9955417.635854408
13,2019-01-18,9949033.414540932
14,2019-01-21,10018947.490461037
15,2019-01-22,10078905.3922631
16,2019-01-23,10087456.253507301
17,2019-01-24,10139597.941320106
18,2019-01-25,10072135.299176857
19,2019-01-28,9872139.723935768
20,2019-01-29,10002575.865995094
21,2019-01-30,10078697.410298988
22,2019-01-31,10182160.905339882
23,2019-02-01,10363127.16127555
24,2019-02-04,10314337.999166176
25,2019-02-05,10446996.793553993
26,2019-02-06,10530160.648671791
27,2019-02-07,10583788.642217323
28,2019-02-08,10426438.123090431
29,2019-02-11,10122864.891393349
30,2019-02-12,10138338.02796714
31,2019-02-14,10023321.950925514
32,2019-02-15,9854735.083173439
33,2019-02-18,9780671.941472694
34,2019-02-19,9801013.967328712
35,2019-02-20,9861161.577054664
36,2019-02-21,10001586.291661903
37,2019-02-22,10059733.458234474
38,2019-02-25,10143842.342847511
39,2019-02-26,10103318.355069801
40,2019-02-27,10057924.360425636
41,2019-02-28,10055944.28590171
42,2019-03-01,10013645.903279945
43,2019-03-05,10093707.145253822
44,2019-03-06,10189924.670453712
45,2019-03-07,10115929.902150795
46,2019-03-08,10053704.042493507
47,2019-03-11,10195005.968640968
48,2019-03-12,10265932.408727333
49,2019-03-13,10356128.142827675
50,2019-03-14,10366675.008802101
51,2019-03-15,10351519.17969291
52,2019-03-18,10466318.670621559
53,2019-03-19,10559019.292264625
54,2019-03-20,10511795.128499672
55,2019-03-22,10506024.89679496
56,2019-03-25,10520978.179128334
57,2019-03-26,10673531.326635048
58,2019-03-27,10688055.493421242
59,2019-03-28,10760984.582326576
60,2019-04-01,10817998.625318214
61,2019-04-02,10877360.501660988
62,2019-04-03,10850745.149114296
63,2019-04-04,10880005.8583657
64,2019-04-05,10933450.615682289
65,2019-04-08,10819231.906720802
66,2019-04-09,10714876.485280678
67,2019-04-10,10676627.148824379
68,2019-04-11,10782922.839284584
69,2019-04-12,10771145.848195717
70,2019-04-15,10770060.30555503
71,2019-04-16,10903216.468351051
72,2019-04-18,10838107.113980934
73,2019-04-22,10779238.218801185
74,2019-04-23,10838998.22919242
75,2019-04-24,10965424.487203285
76,2019-04-25,11026249.15963523
77,2019-04-26,11022950.607137367
78,2019-04-30,11079957.088788673
79,2019-05-02,11012864.260236427
80,2019-05-03,10970694.22454612
81,2019-05-06,10813653.15158622
82,2019-05-07,10804206.689237282
83,2019-05-08,10637337.570539162
84,2019-05-09,10665194.372365639
85,2019-05-10,10592354.19997184
86,2019-05-13,10540424.111188576
87,2019-05-14,10490484.843152687
88,2019-05-15,10611299.880010292
89,2019-05-16,10738095.70651786
90,2019-05-17,10925354.941564247
91,2019-05-20,11050267.157087013
92,2019-05-21,11105995.468328163
93,2019-05-22,11142074.271222755
94,2019-05-23,11048741.51839225
95,2019-05-24,11181839.727094337
96,2019-05-27,11210191.261701271
97,2019-05-28,11189454.05795829
98,2019-05-29,11139288.099088356
99,2019-05-30,11295558.529653236
100,2019-05-31,11377229.91557853
101,2019-06-03,11583670.962613747
102,2019-06-04,11464529.000562355
103,2019-06-06,11418944.713308021
104,2019-06-07,11381118.918569252
105,2019-06-10,11491765.249974892
106,2019-06-11,11489775.262365028
107,2019-06-12,11455482.742627785
108,2019-06-13,11483038.15978019
109,2019-06-14,11377848.752561256
110,2019-06-17,11260742.395497963
111,2019-06-18,11321394.152562782
112,2019-06-19,11344878.916555092
113,2019-06-20,11486822.107419655
114,2019-06-21,11406319.756955788
115,2019-06-24,11366279.542806312
116,2019-06-25,11433091.784063026
117,2019-06-26,11526276.748906776
118,2019-06-27,11551716.064344093
119,2019-06-28,11600681.911710426
120,2019-07-01,11687357.751210853
121,2019-07-02,11698913.841870949
122,2019-07-03,11650029.467038795
123,2019-07-04,11667128.417615578
124,2019-07-05,11650173.861333534
125,2019-07-08,11253896.495519325
126,2019-07-09,11255553.132032081
127,2019-07-10,11041686.995778725
128,2019-07-11,11133836.36024253
129,2019-07-12,11101522.139058754
130,2019-07-15,11090568.1602761
131,2019-07-16,11264187.41772239
132,2019-07-17,11276443.550756142
133,2019-07-18,11199264.96609275
134,2019-07-19,10999211.988591835
135,2019-07-22,10933242.517682716
136,2019-07-23,10994337.79396598
137,2019-07-24,10930265.574826881
138,2019-07-25,10879742.801824257
139,2019-07-26,11209795.386983559
140,2019-07-29,11111030.75943534
141,2019-07-30,11006773.004094765
142,2019-07-31,11029578.769345924
143,2019-08-01,10903307.83289878
144,2019-08-02,10961129.953824684
145,2019-08-05,10886075.955541298
146,2019-08-06,11110203.034719154
147,2019-08-07,11076860.75351493
148,2019-08-08,11206093.164792702
149,2019-08-09,11377642.443944618
150,2019-08-13,11119822.062764809
151,2019-08-14,11196760.712514564
152,2019-08-16,11244513.53426139
153,2019-08-19,11261642.946515724
154,2019-08-20,11262647.087796852
155,2019-08-21,11259791.45109336
156,2019-08-22,11106694.289159462
157,2019-08-23,11189732.69820945
158,2019-08-26,11400437.717900917
159,2019-08-27,11438986.903737709
160,2019-08-28,11369965.151281044
161,2019-08-29,11401726.381894752
162,2019-08-30,11490879.346563026
163,2019-09-03,11269106.214528725
