,date,account_value
0,2019-01-01,10000000.0
1,2019-01-02,9889918.98150757
2,2019-01-03,9829977.521114603
3,2019-01-04,9863599.232914224
4,2019-01-07,9857669.346615091
5,2019-01-08,9849810.763752237
6,2019-01-09,9899330.608143106
7,2019-01-10,9894986.409282938
8,2019-01-11,9861419.786113992
9,2019-01-14,9841666.197742715
10,2019-01-15,9947348.293293253
11,2019-01-16,9942545.800792947
12,2019-01-17,9928767.122730508
13,2019-01-18,9900161.813770548
14,2019-01-21,9970738.688076273
15,2019-01-22,10026030.47087504
16,2019-01-23,9998628.836101785
17,2019-01-24,9995173.823612466
18,2019-01-25,9979009.64614512
19,2019-01-28,9839395.087353006
20,2019-01-29,9919864.176189676
21,2019-01-30,9894379.805500284
22,2019-01-31,10036962.754917398
23,2019-02-01,10167831.254230753
24,2019-02-04,10141339.069050089
25,2019-02-05,10297684.591190591
26,2019-02-06,10331370.489185587
27,2019-02-07,10391829.377842203
28,2019-02-08,10288884.373501077
29,2019-02-11,10088623.124515787
30,2019-02-12,10095693.10570933
31,2019-02-14,10024499.85645701
32,2019-02-15,9899660.120266214
33,2019-02-18,9834459.507236734
34,2019-02-19,9795935.93282725
35,2019-02-20,9838651.27140452
36,2019-02-21,9954140.620121256
37,2019-02-22,9990125.8374293
38,2019-02-25,10086593.117061868
39,2019-02-26,10050684.122783914
40,2019-02-27,9974439.91668345
41,2019-02-28,9971666.142269388
42,2019-03-01,9996392.90370585
43,2019-03-05,10052264.036854044
44,2019-03-06,10099946.11465098
45,2019-03-07,10080799.08995463
46,2019-03-08,10000746.389950052
47,2019-03-11,10094748.95928599
48,2019-03-12,10201771.929447427
49,2019-03-13,10207151.963291422
50,2019-03-14,10209511.364864603
51,2019-03-15,10285694.18118693
52,2019-03-18,10311027.063213602
53,2019-03-19,10387892.899151102
54,2019-03-20,10407918.438068643
55,2019-03-22,10389183.043979898
56,2019-03-25,10359298.158008829
57,2019-03-26,10441766.156009927
58,2019-03-27,10410423.485531107
59,2019-03-28,10399654.188038126
60,2019-04-01,10537151.213924661
61,2019-04-02,10564504.687618509
62,2019-04-03,10530672.397007242
63,2019-04-04,10488014.766216531
64,2019-04-05,10500086.598591104
65,2019-04-08,10531598.366604105
66,2019-04-09,10536386.713794962
67,2019-04-10,10562758.87825419
68,2019-04-11,10636935.541797891
69,2019-04-12,10637911.782215372
70,2019-04-15,10637751.663692728
71,2019-04-16,10755222.498577371
72,2019-04-18,10702322.479412332
73,2019-04-22,10655379.126941934
74,2019-04-23,10686080.192966715
75,2019-04-24,10828506.887043253
76,2019-04-25,10850123.875042215
77,2019-04-26,10863333.314838663
78,2019-04-30,10914345.75185801
79,2019-05-02,10859923.850673929
80,2019-05-03,10828197.086559549
81,2019-05-06,10743004.954410806
82,2019-05-07,10767595.36301829
83,2019-05-08,10658127.613369241
84,2019-05-09,10690102.228748575
85,2019-05-10,10648108.654804483
86,2019-05-13,10573954.055629984
87,2019-05-14,10561354.141170755
88,2019-05-15,10570444.39035441
89,2019-05-16,10678702.6729777
90,2019-05-17,10797958.587894693
91,2019-05-20,10854478.060268655
92,2019-05-21,10894018.937168375
93,2019-05-22,10886321.300197855
94,2019-05-23,10791836.018696085
95,2019-05-24,10885127.22201182
96,2019-05-27,10954020.578212991
97,2019-05-28,10940947.39111735
98,2019-05-29,10911892.22263743
99,2019-05-30,10991877.366199747
100,2019-05-31,10985084.785084024
101,2019-06-03,11172765.72690989
102,2019-06-04,11054862.672420755
103,2019-06-06,11024128.989612833
104,2019-06-07,10960823.609241739
105,2019-06-10,11059658.419803873
106,2019-06-11,11039637.320194498
107,2019-06-12,10989964.47149302
108,2019-06-13,11033441.078907266
109,2019-06-14,10922618.532787576
110,2019-06-17,10819229.265918985
111,2019-06-18,10905606.75867106
112,2019-06-19,10916949.265003458
113,2019-06-20,11040981.680858865
114,2019-06-21,10931612.793773904
115,2019-06-24,10869882.056415811
116,2019-06-25,10930556.316440836
117,2019-06-26,10991985.363682047
118,2019-06-27,11007012.923824564
119,2019-06-28,11021704.987591043
120,2019-07-01,11097414.436756387
121,2019-07-02,11086015.783931985
122,2019-07-03,11045938.130443826
123,2019-07-04,11067747.083553568
124,2019-07-05,10980245.189975992
125,2019-07-08,10686650.191044107
126,2019-07-09,10554313.195858255
127,2019-07-10,10485468.89879252
128,2019-07-11,10586184.18194224
129,2019-07-12,10569064.400959268
130,2019-07-15,10647335.752453104
131,2019-07-16,10773237.481273904
132,2019-07-17,10811956.493412271
133,2019-07-18,10724544.673198953
134,2019-07-19,10549933.413425699
135,2019-07-22,10388581.93697764
136,2019-07-23,10429043.262592569
137,2019-07-24,10420218.19617869
138,2019-07-25,10423823.897434488
139,2019-07-26,10599542.546039835
140,2019-07-29,10471223.82294108
141,2019-07-30,10374302.201389566
142,2019-07-31,10406359.615062967
143,2019-08-01,10312976.820369974
144,2019-08-02,10334408.384014383
145,2019-08-05,10207528.885135904
146,2019-08-06,10307823.858387247
147,2019-08-07,10305239.884952798
148,2019-08-08,10487044.832653299
149,2019-08-09,10618524.793888345
150,2019-08-13,10411917.783222452
151,2019-08-14,10469806.944813028
152,2019-08-16,10449930.546161905
153,2019-08-19,10453113.92953135
154,2019-08-20,10529794.8689387
155,2019-08-21,10429987.648098245
156,2019-08-22,10370161.843509927
157,2019-08-23,10423545.358440652
158,2019-08-26,10610359.363743082
159,2019-08-27,10570810.715870157
160,2019-08-28,10467473.48297526
161,2019-08-29,10428497.026745096
162,2019-08-30,10507001.589206949
163,2019-09-03,10348368.40233256
164,2019-09-04,10418275.566120401
165,2019-09-05,10496455.126758829
166,2019-09-06,10652334.277027383
167,2019-09-09,10739101.989414468
168,2019-09-11,10749017.8972819
169,2019-09-12,10681047.772091165
170,2019-09-13,10762945.944584146
171,2019-09-16,10745098.369335428
172,2019-09-17,10710646.948612466
173,2019-09-18,10759080.10632731
174,2019-09-19,10672367.911541238
175,2019-09-20,11253686.64563395
176,2019-09-23,11488724.629787698
177,2019-09-24,11474927.965397134
178,2019-09-25,11408878.92072703
179,2019-09-26,11511035.819645181
180,2019-09-27,11452112.95927836
181,2019-09-30,11411708.387760416
182,2019-10-01,11389854.267803445
183,2019-10-03,11340081.976749673
184,2019-10-04,11144679.924038187
185,2019-10-07,11103601.461147562
186,2019-10-09,11209569.739460245
187,2019-10-10,11156964.726307169
188,2019-10-11,11247637.546268716
189,2019-10-14,11228884.695026651
190,2019-10-15,11361061.881366983
191,2019-10-16,11408762.701511636
192,2019-10-17,11501022.503086343
193,2019-10-18,11537638.173176065
194,2019-10-22,11516472.146969095
195,2019-10-23,11589122.703693643
196,2019-10-24,11598587.917209879
197,2019-10-25,11486469.029941812
198,2019-10-29,11585793.850475565
199,2019-10-30,11543475.007892862
200,2019-10-31,11618757.576664224
201,2019-11-01,11600596.243358865
202,2019-11-04,11691578.216892496
203,2019-11-05,11702057.530063882
204,2019-11-06,11641038.248691812
205,2019-11-07,11649821.22678782
206,2019-11-08,11532942.117267862
207,2019-11-11,11545153.35607554
208,2019-11-13,11494271.654674783
209,2019-11-14,11481082.596660867
210,2019-11-15,11477237.278812662
211,2019-11-18,11489710.303432718
212,2019-11-19,11484832.082180277
213,2019-11-20,11526032.80290629
214,2019-11-21,11554285.172245279
215,2019-11-22,11450988.601825967
216,2019-11-25,11638477.98472239
217,2019-11-26,11643258.588871256
218,2019-11-27,11736267.218334451
219,2019-11-28,11743855.179310098
220,2019-11-29,11573444.398250833
221,2019-12-02,11514392.577183023
222,2019-12-03,11523375.347721353
223,2019-12-04,11587272.160488382
224,2019-12-05,11561008.78387858
225,2019-12-06,11546373.85267283
226,2019-12-09,11549059.319134012
227,2019-12-10,11528616.524967447
228,2019-12-11,11573627.089855447
229,2019-12-12,11624165.613079324
230,2019-12-13,11547175.846195474
231,2019-12-16,11522875.66025187
232,2019-12-17,11559507.665821329
233,2019-12-18,11606710.418842569
234,2019-12-19,11622533.249149576
235,2019-12-20,11621535.522892252
236,2019-12-23,11690156.968639627
237,2019-12-24,11665842.768924966
238,2019-12-26,11615611.371387735
239,2019-12-27,11677709.583034769
240,2019-12-30,11670010.617504373
241,2019-12-31,11618765.539341226
242,2020-01-01,11608769.646496072
243,2020-01-02,11620978.16039683
244,2020-01-03,11581569.077770486
245,2020-01-06,11497091.999904886
246,2020-01-07,11529349.670246378
247,2020-01-08,11516156.228100076
248,2020-01-09,11642848.744579569
249,2020-01-10,11697256.882015482
250,2020-01-13,11840379.813335672
251,2020-01-14,11879117.185802713
252,2020-01-15,11887815.422039285
253,2020-01-16,11959940.889957681
254,2020-01-17,12089502.405376688
255,2020-01-20,12001668.609188333
256,2020-01-21,11954137.084476724
257,2020-01-22,11919050.539097086
258,2020-01-23,11985192.65546824
259,2020-01-24,12079333.194477335
260,2020-01-27,12169084.823658243
261,2020-01-28,12160938.880321756
262,2020-01-29,12220281.10342814
263,2020-01-30,12117024.420116678
264,2020-01-31,12054842.551494852
265,2020-02-03,12102575.290149942
266,2020-02-04,12432073.177860513
267,2020-02-05,12346058.235019937
268,2020-02-06,12325593.454410806
269,2020-02-07,12333848.099499002
270,2020-02-10,12267308.734661356
271,2020-02-11,12349316.08100535
272,2020-02-12,12521120.734623209
273,2020-02-13,12668947.708317056
274,2020-02-14,12588977.946819559
275,2020-02-17,12562164.010113016
276,2020-02-18,12500646.755298868
277,2020-02-19,12669959.812267557
278,2020-02-20,12574820.971012369
279,2020-02-24,12328518.877926126
280,2020-02-25,12241754.239910379
281,2020-02-26,12169229.29496409
282,2020-02-27,12193717.346409097
283,2020-02-28,11690237.897938028
284,2020-03-02,11606912.980465189
285,2020-03-03,11845805.773472086
286,2020-03-04,11956201.279819742
287,2020-03-05,12085856.367389932
288,2020-03-06,11911701.855388895
289,2020-03-09,11911701.855388895
290,2020-03-11,11418630.863476053
291,2020-03-12,10636364.295665994
292,2020-03-13,10739205.19466807
293,2020-03-16,10230525.679271951
294,2020-03-17,10051488.260875955
295,2020-03-18,9411947.800976053
296,2020-03-19,9129867.926044717
297,2020-03-20,9868181.055263773
298,2020-03-23,8832736.490925089
299,2020-03-24,9182471.096538797
300,2020-03-25,9597992.574520364
301,2020-03-26,10025400.166767374
302,2020-03-27,9890700.090008035
303,2020-03-30,9806253.61150767
304,2020-03-31,10060881.961254373
305,2020-04-01,9715711.587024942
306,2020-04-03,9612206.540745035
307,2020-04-07,10653978.83339335
308,2020-04-08,10712026.598850504
309,2020-04-09,10875009.879871622
310,2020-04-13,10801334.88240458
311,2020-04-15,10937757.426944986
312,2020-04-16,10938445.269069925
313,2020-04-17,11070665.325664774
314,2020-04-20,10935849.246883646
315,2020-04-21,10874937.326015726
316,2020-04-22,11076330.489910379
317,2020-04-23,11080986.22539927
318,2020-04-24,10897964.868778482
319,2020-04-27,11061499.500713602
320,2020-04-28,11063016.617153421
321,2020-04-29,11009896.802288309
322,2020-04-30,11247300.445591226
323,2020-05-04,10826620.714405313
324,2020-05-05,10640248.28879191
325,2020-05-06,10654003.9830897
326,2020-05-07,10531805.513279215
327,2020-05-08,10757384.775654092
328,2020-05-11,10582757.769100443
329,2020-05-12,10476472.231632486
330,2020-05-13,10575229.922535196
331,2020-05-14,10435764.370296732
332,2020-05-15,10423374.960315958
333,2020-05-18,10193707.066562906
334,2020-05-19,10255411.203922525
335,2020-05-20,10604542.101063028
336,2020-05-21,10481664.397060648
337,2020-05-22,10541659.139026895
338,2020-05-26,10482086.48422648
339,2020-05-27,10646878.284458414
340,2020-05-28,10717213.022938028
341,2020-05-29,10958889.123188272
342,2020-06-01,11093681.170780435
343,2020-06-02,11252558.843380228
344,2020-06-03,11418627.873317972
345,2020-06-04,11379907.600246683
346,2020-06-05,11423142.605228677
347,2020-06-08,11466554.175327554
348,2020-06-09,11531077.003673807
349,2020-06-10,11524912.204662576
350,2020-06-11,11367905.525409952
351,2020-06-12,11360787.055111185
352,2020-06-15,11239963.367069498
353,2020-06-16,11284321.40208079
354,2020-06-17,11199609.761226907
355,2020-06-18,11390574.693836465
356,2020-06-19,11505160.333004251
357,2020-06-22,11661136.120754495
358,2020-06-23,11928183.128307596
359,2020-06-24,11686535.916294351
360,2020-06-25,11682983.368824258
361,2020-06-26,11645255.58189036
362,2020-06-29,11622604.568615213
363,2020-06-30,11580408.059658304
364,2020-07-01,11577650.75540568
365,2020-07-02,11679405.16492869
366,2020-07-03,11730543.43256785
367,2020-07-06,11787232.153438821
368,2020-07-07,11799531.415622965
369,2020-07-08,11763054.537838235
370,2020-07-09,11843107.857639566
371,2020-07-10,11821713.160152689
372,2020-07-13,11897056.460476175
373,2020-07-14,11833485.534015909
374,2020-07-15,11979508.72465159
375,2020-07-16,12255429.686397806
376,2020-07-17,12342187.574558511
377,2020-07-20,12415766.871433511
378,2020-07-21,12367579.375255838
379,2020-07-22,12336301.522091165
380,2020-07-23,12425811.975116983
381,2020-07-24,12333134.386684671
382,2020-07-27,12270877.7357371
383,2020-07-28,12483401.01988627
384,2020-07-29,12670753.419094339
385,2020-07-30,12821760.7803538
386,2020-07-31,12856503.277485147
387,2020-08-03,12779873.040439859
388,2020-08-04,12904992.409794107
389,2020-08-05,12929059.805256143
390,2020-08-06,13000981.216785684
391,2020-08-07,12946422.71381785
392,2020-08-10,13119962.100483194
393,2020-08-11,12985622.611591592
394,2020-08-12,12885310.254452005
395,2020-08-13,12917114.096988931
396,2020-08-14,12831725.756099954
397,2020-08-17,12931612.000812784
398,2020-08-18,13014748.013675943
399,2020-08-19,12949651.363422647
400,2020-08-20,12884764.471477762
401,2020-08-21,12923339.874614969
402,2020-08-24,12947710.264255777
403,2020-08-25,12920545.11904551
404,2020-08-26,13005058.418499246
405,2020-08-27,12992026.413501993
406,2020-08-28,12931866.485637918
407,2020-08-31,12560858.518810526
408,2020-09-01,12779858.613476053
409,2020-09-02,12806171.474804178
410,2020-09-03,12929243.080150858
411,2020-09-04,12704943.80138804
412,2020-09-07,12833847.70916392
413,2020-09-08,12724569.503399149
414,2020-09-09,12719875.368633524
415,2020-09-10,12696882.7855189
416,2020-09-11,12764557.530308023
417,2020-09-14,12789522.469684854
418,2020-09-15,12877889.345646158
419,2020-09-16,13136933.86716105
420,2020-09-17,13289567.279575601
421,2020-09-18,13704671.12648417
422,2020-09-21,13351247.305012003
423,2020-09-22,13344372.472233072
424,2020-09-23,13299078.833568826
425,2020-09-24,13020063.113239542
426,2020-09-25,13314999.568050638
427,2020-09-28,13450656.180507913
428,2020-09-29,13337673.007457986
429,2020-09-30,13497061.756641641
430,2020-10-01,13539539.480350748
431,2020-10-05,13605199.715259805
432,2020-10-06,13671080.153515115
433,2020-10-07,13694209.816326395
434,2020-10-08,13848183.388927713
435,2020-10-09,13811680.072033182
436,2020-10-12,13906677.250423685
437,2020-10-13,13904189.785671487
438,2020-10-14,13883413.0793574
439,2020-10-15,13648893.807209268
440,2020-10-16,13707086.126590982
441,2020-10-19,13764757.368526712
442,2020-10-20,13812417.764805093
443,2020-10-21,13817861.598125711
444,2020-10-22,13779511.961467996
445,2020-10-23,13746293.51535441
446,2020-10-26,13674505.4932902
447,2020-10-27,13966174.146374002
448,2020-10-28,13736571.392978922
449,2020-10-29,13651999.464924112
450,2020-10-30,13495752.758030191
451,2020-11-02,13525958.233120218
452,2020-11-03,13571108.502689615
453,2020-11-04,13728617.467663065
454,2020-11-05,13958475.716518655
455,2020-11-06,14019713.989048257
456,2020-11-09,14114517.717373148
457,2020-11-10,13989606.115680948
458,2020-11-11,14310952.866321817
459,2020-11-12,14267492.537670389
460,2020-11-13,14364535.371418253
461,2020-11-17,14341210.483661905
462,2020-11-18,14361793.577839151
463,2020-11-19,14361020.746814981
464,2020-11-20,14630517.61489512
465,2020-11-23,14889182.891849771
466,2020-11-24,15046752.130573526
467,2020-11-25,14766781.191494241
468,2020-11-26,14970890.800457254
469,2020-11-27,14868709.813007608
470,2020-12-01,14880674.951824442
471,2020-12-02,14944521.037426248
472,2020-12-03,15108878.631939188
473,2020-12-04,15195154.010387674
474,2020-12-07,15352329.423412576
475,2020-12-08,15360185.004574075
476,2020-12-09,15518921.046520486
477,2020-12-10,15564822.90572001
478,2020-12-11,15574096.592769876
479,2020-12-14,15609826.348568216
480,2020-12-15,15661333.353039041
481,2020-12-16,15753563.157375589
482,2020-12-17,15763149.736133829
483,2020-12-18,15960797.717930093
484,2020-12-21,15517089.95549418
485,2020-12-22,15752597.832958475
486,2020-12-23,15949977.312816873
487,2020-12-24,15987298.875004068
488,2020-12-28,16060410.15157725
489,2020-12-29,16034859.671406046
490,2020-12-30,16108871.663212076
491,2020-12-31,16122524.61136271
