Company Name,Industry,Symbol
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV
Bharat Petroleum Corporation Ltd.,OIL & GAS,BPCL
Bharti Airtel Ltd.,TELECOM,BHARTIARTL
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA
Cipla Ltd.,PHARMA,CIPLA
Coal India Ltd.,METALS,COALINDIA
Divi's Laboratories Ltd.,PHARMA,DIVISLAB
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT
Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM
HCL Technologies Ltd.,IT,HCLTECH
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK
HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,HDFCLIFE
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO
Hindalco Industries Ltd.,METALS,HINDALCO
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR
Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK
ITC Ltd.,CONSUMER GOODS,ITC
Indian Oil Corporation Ltd.,OIL & GAS,IOC
IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK
Infosys Ltd.,IT,INFY
JSW Steel Ltd.,METALS,JSWSTEEL
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK
Larsen & Toubro Ltd.,CONSTRUCTION,LT
Mahindra & Mahindra Ltd.,AUTOMOBILE,M&M
Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI
NTPC Ltd.,POWER,NTPC
Nestle India Ltd.,CONSUMER GOODS,NESTLEIND
Oil & Natural Gas Corporation Ltd.,OIL & GAS,ONGC
Power Grid Corporation of India Ltd.,POWER,POWERGRID
Reliance Industries Ltd.,OIL & GAS,RELIANCE
SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,SBILIFE
Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,SHREECEM
State Bank of India,FINANCIAL SERVICES,SBIN
Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA
Tata Consultancy Services Ltd.,IT,TCS
Tata Consumer Products Ltd.,CONSUMER GOODS,TATACONSUM
Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS
Tata Steel Ltd.,METALS,TATASTEEL
Tech Mahindra Ltd.,IT,TECHM
Titan Company Ltd.,CONSUMER GOODS,TITAN
UPL Ltd.,FERTILISERS & PESTICIDES,UPL
UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,ULTRACEMCO
Wipro Ltd.,IT,WIPRO
